77150,Cuisy,24333.3
77151,Dagny,23823.7
77152,Dammarie-les-Lys,18536.4
77153,Dammartin-en-Goële,24016.7
77154,Dammartin-sur-Tigeaux,24814.8
77155,Dampmart,24149.6
77156,Darvault,21840.5
77157,Dhuisy,22821.5
77158,Diant,21605.3
77159,Donnemarie-Dontilly,20273.8
77161,Dormelles,26383
77162,Doue,23117.2
77163,Douy-la-Ramée,21480.4
77164,Échouboulains,23150
77165,Les Écrennes,24788.9
77167,Égligny,21471.7
77168,Égreville,20058.5
77169,Émerainville,23971
77170,Épisy,25092.5
77171,Esbly,24516.1
77172,Esmans,23144
77173,Étrépilly,23704.5
77174,Everly,20489
77175,Évry-Grégy-sur-Yerre,27961.2
77176,Faremoutiers,22988
77177,Favières,25827.2
77178,Faÿ-lès-Nemours,22886
77179,Féricy,26906.7
77180,Férolles-Attilly,31206.7
77181,Ferrières-en-Brie,26529.5
77182,La Ferté-Gaucher,17108
77183,La Ferté-sous-Jouarre,19401.3
77184,Flagy,23200
77185,Fleury-en-Bière,30737.5
77186,Fontainebleau,23828.4
77187,Fontaine-Fourches,19271.9
77188,Fontaine-le-Port,27118.7
77190,Fontains,24526.7
77191,Fontenailles,24684.5
77192,Fontenay-Trésigny,22239.2
77193,Forfry,26354.6
77194,Forges,22717.2
77195,Fouju,26399.3
77196,Fresnes-sur-Marne,26921
77197,Frétoy,23765.4
77198,Fromont,22697
77199,Fublaines,23132
77200,Garentreville,23708
77201,Gastins,24583.3
77202,La Genevraye,23521.7
77203,Germigny-l'Évêque,27408.4
77204,Germigny-sous-Coulombs,21421.4
77205,Gesvres-le-Chapitre,27500
77206,Giremoutiers,21551.3
77207,Gironville,20256.5
77208,Gouaix,19971.2
77209,Gouvernes,30996.7
77210,La Grande-Paroisse,22417.8
77211,Grandpuits-Bailly-Carrois,21618.4
77212,Gravon,27006.7
77214,Gressy,32128.6
77215,Gretz-Armainvilliers,21334.6
77216,Grez-sur-Loing,23748.3
77217,Grisy-Suisnes,25879.3
77218,Grisy-sur-Seine,19959
77219,Guérard,25843.6
77220,Guercheville,23057.8
77221,Guermantes,31985
77222,Guignes,22179.6
77223,Gurcy-le-Châtel,22326.8
77224,Hautefeuille,24693.9
77225,La Haute-Maison,22966.1
77226,Héricy,26879.6
77227,Hermé,21165.3
77228,Hondevilliers,21629
77229,La Houssaye-en-Brie,25134.8
77230,Ichy,22919.5
77231,Isles-les-Meldeuses,21563
77232,Isles-lès-Villenoy,26138
77233,Iverny,22583.6
77234,Jablines,25846.4
77235,Jaignes,23913.8
77236,Jaulnes,22937.1
77237,Jossigny,25131.2
77238,Jouarre,20802.9
77239,Jouy-le-Châtel,21541.4
77240,Jouy-sur-Morin,20670.7
77241,Juilly,23062.4
77242,Jutigny,21079.2
77243,Lagny-sur-Marne,22781.3
77244,Larchant,25346.7
77245,Laval-en-Brie,21975.8
77246,Léchelle,21290.8
77247,Lescherolles,22261.9
77248,Lesches,28628.6
77249,Lésigny,29233.3
77250,Leudon-en-Brie,22298.1
77251,Lieusaint,21699
77252,Limoges-Fourches,24222.7
77253,Lissy,24241.8
77254,Liverdy-en-Brie,26065.2
77255,Livry-sur-Seine,26071.3
77256,Lizines,23013.8
77257,Lizy-sur-Ourcq,17438.1
77258,Lognes,20033.7
77259,Longperrier,23138
77260,Longueville,18910
77261,Lorrez-le-Bocage-Préaux,21224
77262,Louan-Villegruis-Fontaine,21043.9
77263,Luisetaines,21842.7
77264,Lumigny-Nesles-Ormeaux,24769.6
77265,Luzancy,21149.5
77266,Machault,24961.2
77267,La Madeleine-sur-Loing,22570.3
77268,Magny-le-Hongre,26704.8
77269,Maincy,26162.7
77270,Maisoncelles-en-Brie,25867.6
77271,Maisoncelles-en-Gâtinais,20319.4
77272,Maison-Rouge,22203.1
77273,Marchémoret,23236.2
77274,Marcilly,23460.5
77275,Les Marêts,20549
77276,Mareuil-lès-Meaux,24105.9
77277,Marles-en-Brie,24790
77278,Marolles-en-Brie,22939.2
77279,Marolles-sur-Seine,21633.3
77280,Mary-sur-Marne,23276
77281,Mauperthuis,25083.6
77282,Mauregard,20874.7
77283,May-en-Multien,22576.7
77284,Meaux,17708.6
77285,Le Mée-sur-Seine,17634.4
77286,Meigneux,23430.8
77287,Meilleray,20307.5
77288,Melun,17605.6
77289,Melz-sur-Seine,21140.4
77290,Méry-sur-Marne,23849.1
77291,Le Mesnil-Amelot,21298
77292,Messy,26512.9
77293,Misy-sur-Yonne,21424.7
77294,Mitry-Mory,21042.7
77295,Moisenay,26335.2
77296,Moissy-Cramayel,19907.4
77297,Mondreville,23527
77298,Mons-en-Montois,21637.1
77299,Montarlot,25037.6
77300,Montceaux-lès-Meaux,25164.7
77301,Montceaux-lès-Provins,19705.3
77302,Montcourt-Fromonville,23466.7
77303,Montdauphin,19715
77304,Montenils,
77305,Montereau-Fault-Yonne,14974.3
77306,Montereau-sur-le-Jard,26610.7
77307,Montévrain,24491
77308,Montgé-en-Goële,26355
77309,Monthyon,23198.6
77310,Montigny-le-Guesdier,22735.6
77311,Montigny-Lencoup,23215.9
77312,Montigny-sur-Loing,25747
77313,Montmachoux,25006.5
77314,Montolivet,22767.3
77315,Montry,25326
77316,Orvanne,23893.6
77317,Mormant,20508.1
77318,Mortcerf,24407.1
77319,Mortery,22212.4
77320,Mouroux,22390.4
77321,Mousseaux-lès-Bray,20432.5
77322,Moussy-le-Neuf,25395.6
77323,Moussy-le-Vieux,24304.8
77325,Mouy-sur-Seine,20778.7
77326,Nandy,22278
77327,Nangis,18121.3
77328,Nanteau-sur-Essonne,24746.4
77329,Nanteau-sur-Lunain,24804.3
77330,Nanteuil-lès-Meaux,23454.8
77331,Nanteuil-sur-Marne,18786.7
77332,Nantouillet,23492.9
77333,Nemours,17269
77335,Chauconin-Neufmontiers,24585.2
77336,Neufmoutiers-en-Brie,25120.5
77337,Noisiel,18851.7
77338,Noisy-Rudignon,22004.3
77339,Noisy-sur-École,31528.1
77340,Nonville,24452
77341,Noyen-sur-Seine,20887.3
77342,Obsonville,24783.8
77343,Ocquerre,21593.7
77344,Oissery,24344.7
77345,Orly-sur-Morin,23649.3
77347,Les Ormes-sur-Voulzie,21583.8
77348,Ormesson,25622
77349,Othis,24373.9
77350,Ozoir-la-Ferrière,25032.7
77352,Ozouer-le-Voulgis,26450.5
77353,Paley,23953.3
77354,Pamfou,22641.7
77355,Paroy,24972
77356,Passy-sur-Seine,
77357,Pécy,23825.5
77358,Penchard,24753.9
77359,Perthes,26042
77360,Pézarches,22937
77361,Pierre-Levée,24916.1
77363,Le Pin,25370.3
77364,Le Plessis-aux-Bois,24658.5
77365,Le Plessis-Feu-Aussoux,25158.8
77366,Le Plessis-l'Évêque,23452
77367,Le Plessis-Placy,22498.3
77368,Poigny,20155.4
77369,Poincy,25184
77370,Poligny,23424
77371,Pommeuse,22776.6
77372,Pomponne,24756.7
77373,Pontault-Combault,22490
77374,Pontcarré,25394.6
77376,Précy-sur-Marne,24960.4
77377,Presles-en-Brie,25043
77378,Pringy,24717
77379,Provins,17201.3
77380,Puisieux,23642.8
77381,Quiers,23727.3
77382,Quincy-Voisins,24892
77383,Rampillon,23635.6
77384,Réau,23403.3
77385,Rebais,19507.7
77386,Recloses,27742.6
77387,Remauville,22353.8
77388,Reuil-en-Brie,22221.7
77389,La Rochette,26811.1
77390,Roissy-en-Brie,21641.6
77391,Rouilly,21048.4
77392,Rouvres,26607.2
77393,Rozay-en-Brie,22832.8
77394,Rubelles,28111.7
77395,Rumont,24381.6
77396,Rupéreux,
77397,Saâcy-sur-Marne,20585.3
77398,Sablonnières,21027
77399,Saint-Ange-le-Viel,22747.5
77400,Saint-Augustin,24822.6
77401,Sainte-Aulde,24324.5
77402,Saint-Barthélemy,21787.3
77403,Saint-Brice,22619
77404,Sainte-Colombe,21106
77405,Saint-Cyr-sur-Morin,22652.9
77406,Saint-Denis-lès-Rebais,23724.6
77407,Saint-Fargeau-Ponthierry,23229.6
77408,Saint-Fiacre,25779
77409,Saint-Germain-Laval,20920
77410,Saint-Germain-Laxis,25460.9
77411,Saint-Germain-sous-Doue,22940.3
77412,Saint-Germain-sur-École,25894.5
77413,Saint-Germain-sur-Morin,24824.8
77414,Saint-Hilliers,22480.5
77415,Saint-Jean-les-Deux-Jumeaux,23260
77416,Saint-Just-en-Brie,22781.7
77417,Saint-Léger,23048.7
77418,Saint-Loup-de-Naud,20743.3
77419,Saint-Mammès,21852.9
77420,Saint-Mard,24350.5
