2013,943002597,PISCINE PIERRE BROSSOLETTE,Piscine Pierre Brossolette,94068,94100,51,NULL,NULL,NULL,AVENUE,NULL,PIERRE BROSSOLETTE,12,123,Piscine (regroupement à voir avec Bassin-école),O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,940000143,NULL,940009352,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:33:42.000Z
2014,943004902,TERRAINS DE TENNIS,Terrains de Tennis,94048,94440,0,NULL,NULL,NULL,RUE,DU,FAUBOURG SAINT MARCEAU,12,122,Terrains de tennis,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,940000134,NULL,940009844,O,O,N,NULL,NULL,NULL,BDPPC,2016-06-08T14:34:55.000Z
2015,752003173,GYMNASE JEAN PREVOST,Gymnase Jean Prevost,75113,75013,88,NULL,NULL,NULL,RUE,NULL,GLACIERE,12,123,Gymnase,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,750001537,750000013,750001526,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:31:16.000Z
2016,923005049,MUR D'ESCALADE,Mur d'escalade,92019,92290,35,NULL,NULL,NULL,RUE,DES,PRES HAUTS,12,123,Mur d'escalade d'intérieur,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,920000055,NULL,920002625,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:25:40.000Z
2017,943005364,GYMNASE JEAN MOULIN,Gymnase Jean Moulin,94078,94190,0,NULL,NULL,NULL,AVENUE,NULL,LEO LAGRANGE,12,123,Gymnase,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,940000144,NULL,940002151,O,N,N,NULL,NULL,NULL,BDPPC,2016-06-08T14:33:06.000Z
2018,752002900,STADE BOUTROUX,Stade Boutroux,75113,75013,1,NULL,NULL,NULL,AVENUE,NULL,BOUTROUX,12,122,"Stade, Parc de sports, Plaine de jeux",O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,750001537,750000013,750001644,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:31:53.000Z
2019,943004839,STADE DIDIER PIRONI,Stade Didier Pironi,94044,94450,0,NULL,NULL,NULL,AVENUE,NULL,DESCARTES,12,122,"Stade, Parc de sports, Plaine de jeux",O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,940000132,NULL,940004213,O,O,N,NULL,NULL,NULL,BDPPC,2016-06-08T14:34:18.000Z
2020,753003484,PISCINE ALFRED NAKACHE,Piscine Alfred Nakache,75120,75020,12,NULL,NULL,NULL,RUE,NULL,DÉNOYEZ,12,123,Piscine (regroupement à voir avec Bassin-école),NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,750001537,750000020,0,O,O,N,NULL,NULL,NULL,BDPPC,2016-06-08T15:04:46.000Z
2021,753003594,AIRE CITY STADE 2 EOLE,Aire City Stade 2 Eole,75118,75018,61,NULL,NULL,NULL,RUE,NULL,RIQUET,12,122,12225,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,750001537,750000018,0,NULL,NULL,NULL,NULL,BDPPC,2016-02-12T13:51:58.000Z,BDPPC,2016-06-08T15:04:35.000Z
2022,923004562,PLAINE DE JEUX DES COTEAUX,Plaine de Jeux des Coteaux,92063,92500,0,NULL,NULL,NULL,BOULEVARD,DES,COTEAUX,12,122,"Stade, Parc de sports, Plaine de jeux",NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,920000032,NULL,920013371,O,O,N,NULL,NULL,NULL,BDPPC,2016-06-08T14:23:28.000Z
2023,752003332,BASSIN-ÉCOLE DE L'ECOLE POLYTECHNIQUE,Bassin-école de l'Ecole Polytechnique,75105,75005,1,NULL,NULL,NULL,RUE,NULL,DESCARTES,12,123,Bassin-école,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,750001537,750000005,750000451,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:29:25.000Z
2024,752010729,SALLE D'ESCRIME ARMAND MASSARD,Salle d'Escrime Armand Massard,75115,75015,66,NULL,NULL,NULL,BOULEVARD,NULL,MONTPARNASSE,12,123,Salle de sports,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,750001537,750000015,750002019,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:28:14.000Z
2025,923003225,GYMNASE LA SAUVEGARDE,Gymnase La Sauvegarde,92009,92270,7,NULL,NULL,NULL,RUE,NULL,HOCHE,12,123,Gymnase,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,920000025,NULL,0,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:24:01.000Z
2026,923004190,COMPLEXE SPORTIF RENÉ LEDUC,Complexe Sportif René Leduc,92048,92190,12,NULL,NULL,NULL,RUE,DU,PERE BROTTIER,12,123,Salle de sports,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,920000045,NULL,920013078,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:27:14.000Z
2027,943004165,PISCINE MUNICIPALE,Piscine Municipale,94016,94230,4,NULL,NULL,NULL,AVENUE,DE L',EUROPE,12,123,Piscine (regroupement à voir avec Bassin-école),O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,940000141,NULL,940007431,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:33:06.000Z
2028,753000472,PARIS COACH,Paris Coach,75111,75011,4,NULL,NULL,NULL,CITE,NULL,DUPONT,12,123,Sport en salle (autre),N,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,750001537,750000011,0,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:30:39.000Z
2029,943005390,COMPLEXE SPORTIF OCTAVE LAPIZE,Complexe Sportif Octave Lapize,94079,94350,0,NULL,NULL,NULL,RUE,NULL,ENTRONCAMENTO,12,123,Salle de sports,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,940000207,NULL,940004328,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:33:42.000Z
2030,943005077,CENTRE SPORTIF ROGER VERGNE,Centre Sportif Roger Vergne,94067,94160,31,NULL,NULL,NULL,RUE,DU,COMMANDANT RENE MOUCHOTTE,12,123,Piscine (regroupement à voir avec Bassin-école),O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,940000101,NULL,940000315,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:34:18.000Z
2031,752003197,GYMNASE DE LA PORTE DE LA PLAINE,Gymnase de la Porte de la Plaine,75115,75015,13,NULL,NULL,NULL,RUE,NULL,GENERAL GUILLAUMAT,12,123,Gymnase,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,750001537,750000015,750002123,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:32:28.000Z
2032,943005079,SALLE OMNISPORT,Salle Omnisport,94067,94160,10,NULL,NULL,NULL,RUE,NULL,MONGENOT,12,123,Salle de sports,O,M,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,10,NULL,11,NULL,NULL,NULL,940000101,NULL,940003726,O,O,O,NULL,NULL,NULL,BDPPC,2016-06-08T14:34:18.000Z
