OBJECTID,N_SQ_EP,L_EP_MAJ,L_EP_MIN,C_CAINSEE,C_POSTAL,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,C_NIV1,C_NIV2,C_NIV3,B_PUBLIC,C_GESTION,D_ANNEE_CR,B_SITE,B_MONUMENT,B_LOGISTIQ,L_INF_COMP,LIB_QL1,VAL_QL1,LIB_QL2,VAL_QL2,LIB_QL3,VAL_QL3,LIB_QN1,VAL_QN1,LIB_QN2,VAL_QN2,LIB_QN3,VAL_QN3,N_SQ_CO,N_SQ_AR,N_SQ_EE,B_LOCAL,B_TERRITOR,B_METROPOL,C_MET,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,N_SQ_IR
1014,753002813,"JARDIN DEBERGUE RENDEZ-VOUS","Jardin Debergue Rendez-Vous",75112,75002,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"O","M",2007,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000012,750001225,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004697
1015,753003017,"JARDIN MAURICE BARLIER","Jardin Maurice Barlier",75116,75006,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"O","M",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000016,750002251,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004306
1016,753002421,"JARDINET DE LA MJC DES AMANDIERS","Jardinet de la MJC des Amandiers",75120,75000,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,152,15211,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000020,750003163,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004359
1017,753002361,"JARDIN DE LA BIBLIOTHÈQUE NATIONALE DE FRANCE","Jardin de la Bibliothèque Nationale de France",75113,75003,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,152,15211,"NULL","NULL",1995,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000013,750001401,"O","O","O","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004438
1018,943005650,"MAIL PIERRE DESPROGES","Mail Pierre Desproges",75111,75001,143,"NULL","NULL","NULL","RUE","NULL","ROQUETTE",15,151,15112,"O","M",1933,"NULL","NULL","NULL","NULL","37","O","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000011,750001076,"O","O","N","NULL","BEAUREGA","2017-05-10T11:19:50.000Z","BEAUREGA","2017-06-15T11:20:57.000Z",750004493
1,923005999,"PARC DE L'ILE SAINT-GERMAIN","Parc de l'Ile Saint-Germain",92040,92130,0,"NULL","NULL","NULL","QUAI","DE","STALINGRAD",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",920000041,0,920013034,"O","O","O","NULL","NULL","NULL","CATINEAU","2018-02-22T12:55:01.000Z",920003214
2,943005513,"PROMENADE PC 15","Promenade PC 15",75115,75015,68,"NULL","NULL","NULL","RUE","NULL","DANTZIG",15,151,15112,"O","M",2014,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000015,750001954,"O","O","O","NULL","BEAUREGA","2017-05-03T12:34:42.000Z","BEAUREGA","2017-05-03T16:25:51.000Z",750004801
3,943005514,"PARC DU CHAMP DE MARS","Parc du Champ de Mars",75107,75007,1,"NULL","NULL","NULL","AVENUE","NULL","ANATOLE FRANCE",15,151,15112,"O","M",1878,"NULL","NULL","NULL","NULL","37","O","38","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000016,750002262,"O","O","O","NULL","BEAUREGA","2017-01-23T09:31:47.000Z","BEAUREGA","2017-05-03T16:25:51.000Z",750004505
4,923005356,"PARC DE NAHARIYA","Parc de Nahariya",92040,92130,78,"NULL","NULL","NULL","RUE","DE L'","EGALITE",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",920000041,0,0,"O","N","N","NULL","NULL","NULL","CATINEAU","2018-02-27T14:19:51.000Z",920002905
5,753002861,"JARDIN CHARLES TRENET","Jardin Charles Trenet",75113,75013,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"O","M",2015,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000013,750005029,"NULL","NULL","NULL","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:25:50.000Z",750004854
