14,752002764,CENTRE MATERNEL,Centre Maternel,75119,75019,8,NULL,NULL,NULL,Rue,NULL,BARBANEGRE,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,1,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000019,750002931
15,923005982,LE CUBE - CENTRE DE CREATION NUMERIQUE,Le Cube - Centre de Création Numérique,92040,92130,20,NULL,NULL,NULL,Cours,NULL,SAINT VINCENT,Culture et Loisirs,"Information, Pratique et animation culturelle",Espace Public Numérique,NULL,NULL,NULL,NULL,NULL,Exploitant,NULL,Art et Essai (O/N),N,NULL,NULL,Nombre de salles,NULL,Capacité d'acceuil,NULL,NULL,NULL,920000041,0,0
16,933009020,CENTRE JEAN VILAR,Centre jean Vilar,93064,93110,20,NULL,NULL,NULL,Mail,NULL,JEAN PIERRE TIMBAUD,Culture et Loisirs,"Information, Pratique et animation culturelle","Centre culturel, Maison de la Culture, Centre socio-culturel",NULL,NULL,NULL,NULL,NULL,Catégorie bibliothèque,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,930000175,0,930008704
17,753002103,BETONSALON,Betonsalon,75113,75013,9,NULL,NULL,NULL,Esplanade,NULL,PIERRE VIDAL NAQUET,Culture et Loisirs,"Exposition, spectacles culturels","Salle d'exposition, Galerie d'art",Non,Association,2007,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Capacité d'acceuil,NULL,NULL,NULL,NULL,NULL,750001537,750000013,750003577
18,753000964,CENTRE DE DANSE MOMBOYE - DANSE,Centre de Danse Momboye - Danse,75120,75020,25,NULL,NULL,NULL,Rue,NULL,BOYER,Culture et Loisirs,"Apprentissage, Pratique amateur","Ecoles de musique, Ecole de danse",Non,NULL,NULL,NULL,NULL,Catégorie centre de loisirs,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000020,0
19,753001820,ATELIERS-LOGEMENTS PLASTICIENS RIVP,Ateliers-Logements Plasticiens RIVP,75120,75020,62,NULL,NULL,NULL,Rue,NULL,JULIEN LACROIX,Culture et Loisirs,"Apprentissage, Pratique amateur",Atelier d'artistes,Oui,Municipalité/Commune,1998,NULL,NULL,Catégorie centre de loisirs,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,4,NULL,NULL,NULL,NULL,750001537,750000020,0
20,753001233,GALERIE TATIANA TOURNEMINE,Galerie Tatiana Tournemine,75108,75008,104,NULL,NULL,NULL,Rue,du,FAUBOURG SAINT-HONORE,Culture et Loisirs,"Exposition, spectacles culturels","Salle d'exposition, Galerie d'art",Non,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,Structure permanente (O/N),1,NULL,NULL,Capacité d'acceuil,NULL,NULL,NULL,NULL,NULL,750001537,750000008,0
21,933008906,CINEMA LE BIJOU,Cinema Le Bijou,93051,93160,4,NULL,NULL,NULL,Place,de la,LIBERATION,Culture et Loisirs,Art cinématographique,Cinéma,NULL,NULL,NULL,NULL,NULL,Exploitant,NULL,Art et Essai (O/N),NULL,NULL,NULL,Nombre de salles,NULL,Capacité d'acceuil,NULL,NULL,NULL,930000217,0,0
22,752003741,THÉÂTRE DES NOUVEAUTÉS,Théâtre des Nouveautés,75109,75009,24,NULL,NULL,NULL,Boulevard,NULL,POISSONNIERE,Culture et Loisirs,"Exposition, spectacles culturels",Théâtre,Non,NULL,NULL,NULL,NULL,Taille/Envergure,2,NULL,NULL,NULL,NULL,Capacité d'acceuil,585,NULL,NULL,NULL,NULL,750001537,750000009,0
23,753000264,SLINGSHOTS MUSIC,Slingshots Music,75103,75010,49,NULL,NULL,NULL,Boulevard,NULL,SAINT-MARTIN,Culture et Loisirs,"Apprentissage, Pratique amateur",Studio d'enregistrement,Non,NULL,NULL,NULL,NULL,Catégorie centre de loisirs,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000003,0
24,943001147,CENTRE SOCIOCULTUREL KENNEDY,Centre Socioculturel Kennedy,94028,94000,36,NULL,NULL,NULL,Boulevard,NULL,KENNEDY,Culture et Loisirs,"Information, Pratique et animation culturelle","Centre culturel, Maison de la Culture, Centre socio-culturel",NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,940000118,0,0
25,753000999,INSTITUTO CAMOES À PARIS,Instituto Camoes à Paris,75116,75016,26,NULL,NULL,NULL,Rue,NULL,RAFFET,Culture et Loisirs,"Information, Pratique et animation culturelle",Centre culturel étranger,Non,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000016,750002236
26,752002619,CENTRE MATERNEL ET ELÉMENTAIRE,Centre Maternel et Elémentaire,75116,75016,3,NULL,NULL,NULL,Impasse,NULL,BELLES FEUILLES,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,4,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000016,750002302
27,753000211,MEC PRODUCTIONS,MEC Productions,75108,75008,5,NULL,NULL,NULL,Rue,de la,RENAISSANCE,Culture et Loisirs,"Apprentissage, Pratique amateur",Studio d'enregistrement,Non,NULL,NULL,NULL,NULL,Catégorie centre de loisirs,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000008,0
28,752002855,CENTRE MATERNEL,Centre Maternel,75120,75020,31,NULL,NULL,NULL,Rue,NULL,MARAICHERS,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,1,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000020,750004457
29,933002361,MEDIATHEQUE MARGUERITE YOURCENAR,Médiatheque Marguerite Yourcenar,93064,93110,1,bis,NULL,NULL,Allée,NULL,SYCOMORES,Culture et Loisirs,Mémoire et documentation,"Bibliothèque, Discothèque, Vidéothèque, Médiathèque",NULL,NULL,NULL,NULL,NULL,Catégorie bibliothèque,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,930000175,0,0
30,752002389,CENTRE MATERNEL,Centre Maternel,75111,75011,2,NULL,NULL,NULL,Passage,NULL,BESLAY,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,1,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000011,750001123
31,933002864,CINÉMA JACQUES TATI,Cinéma Jacques Tati,93073,93290,29,NULL,NULL,NULL,Avenue,NULL,GENERAL DE GAULLE,Culture et Loisirs,Art cinématographique,Cinéma,NULL,NULL,NULL,NULL,NULL,Exploitant,NULL,Art et Essai (O/N),N,NULL,NULL,Nombre de salles,NULL,Capacité d'acceuil,NULL,NULL,NULL,930000057,0,0
32,753000759,TRICEMUSIQ,Tricemusiq,75111,75011,12,NULL,NULL,NULL,Rue,NULL,MERLIN,Culture et Loisirs,"Apprentissage, Pratique amateur",Studio d'enregistrement,Non,NULL,NULL,NULL,NULL,Catégorie centre de loisirs,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000011,750001182
33,752003417,BIBLIOTHÈQUE DU MUSEUM D'HISTOIRE NATURELLE,Bibliothèque du Museum d'Histoire Naturelle,75105,75005,38,NULL,NULL,NULL,Rue,NULL,GEOFFROY SAINT-HILAIRE,Culture et Loisirs,Mémoire et documentation,Bibliothèque universitaire et de recherche scientifique,Oui,Etat,NULL,NULL,NULL,Catégorie bibliothèque,4,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000005,750000443
34,943001136,"CINÉMAS DU PALAIS, ARMAND BADÉYAN","Cinémas du Palais, Armand Badéyan",94028,94000,40,NULL,NULL,NULL,Allée,NULL,PARMENTIER,Culture et Loisirs,Art cinématographique,Cinéma,NULL,NULL,NULL,NULL,NULL,Exploitant,NULL,Art et Essai (O/N),N,NULL,NULL,Nombre de salles,NULL,Capacité d'acceuil,NULL,NULL,NULL,940000118,0,0
35,923004062,ARCHIVES,Archives,92044,92300,26,NULL,NULL,NULL,Rue,NULL,CLEMENT BAYARD,Culture et Loisirs,Mémoire et documentation,Archives,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie bibliothèque,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,920000150,0,0
